1,Afghanistan,15
2,Albania,2
3,Algeria,1
4,Andorra,23
5,Angola,23
6,Antigua and Barbuda,13
7,Argentina,23
8,Armenia,25
9,Australia,21
10,Austria,13
11,Azerbaijan,25
12,Bahamas,21
13,Bahrain,1
14,Bangladesh,15
15,Barbados,21
16,Belarus,24
17,Belgium,13
18,Belize,21
19,Benin,23
20,Bhutan,8
21,Bolivia,23
22,Bosnia and Herzegovina,24
23,Botswana,13
24,Brazil,23
25,Brunei,7
26,Bulgaria,24
27,Burkina Faso,23
28,Burma,8
29,Burundi,6
30,Cambodia,4
31,Cameroon,23
32,Canada,21
33,Cape Verde,23
34,Central African Republic,23
35,Chad,23
36,Chile,23
37,China,10
38,Colombia,23
39,Comoros,6
40,"Congo, Democratic Republic of the ",23
41,"Congo, Republic of",23
42,Costa Rica,23
43,Côte d'Ivoire,23
44,Croatia,24
45,Cuba,23
46,Cyprus,14
47,Czech Republic,24
48,Denmark,13
49,Djibouti,23
50,Dominica,21
51,Dominican Republic,23
52,East Timor,4
53,Ecuador,23
54,Egypt,1
55,El Salvador,23
56,Equatorial Guinea,23
57,Eritrea,1
58,Estonia,5
59,Eswatini,21
60,Ethiopia,69
61,Faroe Islands,13
62,Fiji,21
63,Finland,26
64,France,23
65,Gabon,23
66,Gambia,21
67,Georgia,9
68,Germany,13
69,Ghana,21
70,Gibraltar,23
71,Greece,14
72,Grenada,21
73,Guatemala,23
74,Guinea,23
75,Guinea-Bissau,23
76,Guyana,21
77,Haiti,11
78,Honduras,23
79,Hong Kong,10
80,Hungary,26
81,Iceland,13
82,India,12
83,Indonesia,19
84,Iran,15
85,Iraq,1
86,Ireland,21
87,Israel,1
88,Italy,23
89,Jamaica,21
90,Japan,45
91,Jersey,21
92,Jordan,1
93,Kazakhstan,25
94,Kenya,21
95,Kiribati,4
96,"Korea, North",18
97,"Korea, South",18
98,Kosovo,24
99,Kuwait,1
100,Kyrgyzstan,25
101,Laos,17
102,Latvia,5
103,Lebanon,1
104,Lesotho,21
105,Liberia,21
106,Libya,1
107,Liechtenstein,13
108,Lithuania,5
109,Luxembourg,13
110,Macau,10
111,Macedonia,24
112,Madagascar,7
113,Malawi,6
114,Malaysia,19
115,Maldives,12
116,Mali,23
117,Malta,1
118,Marshall Islands,4
119,Mauritania,1
120,Mauritius,11
121,Mexico,23
122,Micronesia,21
123,Moldova,23
124,Monaco,23
125,Mongolia,22
126,Montenegro,24
127,Morocco,1
128,Mozambique,23
129,Myanmar,8
130,Namibia,21
131,Nauru,4
132,Nepal,8
133,Netherlands,13
134,New Caledonia,23
135,New Zealand,21
136,Nicaragua,23
137,Niger,23
138,Nigeria,21
139,Norway,13
140,Oman,1
141,Pakistan,15
142,Palau,4
143,Palestinian State (proposed),1
144,Panama,23
145,Papua New Guinea,20
146,Paraguay,23
147,Peru,23
148,Philippines,8
149,Poland,24
150,Portugal,23
151,Qatar,1
152,Romania,23
153,Russia,24
154,Rwanda,6
155,Samoa,4
156,San Marino,23
157,São Tomé and Príncipe,23
158,Saudi Arabia,1
159,Senegal,23
160,Serbia,24
161,Seychelles,11
162,Sierra Leone,21
163,Singapore,10
164,Slovakia,24
165,Slovenia,24
166,Solomon Islands,21
167,Somalia,1
168,South Africa,6
169,Spain,23
170,Sri Lanka,12
171,St. Kitts and Nevis,21
172,St. Lucia,21
173,St. Vincent and the Grenadines,21
174,Sudan,21
175,Suriname,13
176,Sweden,13
177,Switzerland,13
178,Syria,1
179,Taiwan,10
180,Tajikistan,15
181,Tanzania,6
182,Thailand,17
183,Togo,23
184,Tonga,4
185,Trinidad and Tobago,21
186,Tunisia,1
187,Turkey,25
188,Turkmenistan,24
189,Tuvalu,4
190,Uganda,21
191,Ukraine,24
192,United Arab Emirates,1
193,United Kingdom,21
194,United States,21
195,Uruguay,23
196,Uzbekistan,25
197,Vanuatu,15
198,Vatican City (Holy See),23
199,Venezuela,23
200,Vietnam,4
201,Western Sahara (proposed state),1
202,Yemen,1
203,Zambia,21
204,Zimbabwe,21
205,Brussels,23
206,Antwerp,13
207,Ghent,13
208,Charleroi,23
209,Liege,23
210,Bruges,13
211,Namur,23
212,Leuven,13
213,Zurich,13
214,Geneva,23
215,Basel,13
216,Lausanne,23
217,Berne,13
218,Winterhur,13
219,Luzern,13
220,St Gallen,13
221,Lugano,23
